EndDate,EventID,Other,RoadName,StartDate,SvcDept
2016-05-30,RMINRM-201604-0311,"For details, please call",AH HOOD ROAD,2016-04-16,LAND TRANSPORT AUTHORITY
2016-06-04,RMINRM-201603-0122,"For details, please call 63961386",ALJUNIED ROAD,2016-03-04,LAND TRANSPORT AUTHORITY
2018-12-31,RMINRM-201510-0811,"For details, please call 62616287",ALJUNIED ROAD,2015-10-26,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-1029,"For details, please call 66031034",AMBER ROAD,2016-04-04,LAND TRANSPORT AUTHORITY
2016-06-14,RMINRM-201512-0291,"For details, please call 6396 2102",ANG MO KIO AVENUE 1,2015-12-15,LAND TRANSPORT AUTHORITY
2016-09-22,RMINRM-201603-0515,"For details, please call",ANG MO KIO AVENUE 2,2016-03-23,LAND TRANSPORT AUTHORITY
2016-08-20,RMINRM-201605-0103,"For details, please call 67313411",ANG MO KIO AVENUE 3,2016-05-06,PUB - CATCHMENT AND WATERWAYS
2016-05-31,RMINRM-201604-0633,"For details, please call 64509310",ANG MO KIO AVENUE 3,2016-04-28,LAND TRANSPORT AUTHORITY
2016-07-30,RMINDL-201603-0042,"For details, please call 63328174",ANG MO KIO AVENUE 3,2016-04-15,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0644,"For details, please call 63328174",ANG MO KIO AVENUE 3,2016-04-15,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0869,"For details, please call",ANG MO KIO AVENUE 3,2016-04-01,LAND TRANSPORT AUTHORITY
2016-09-22,RMINRM-201603-0514,"For details, please call",ANG MO KIO AVENUE 3,2016-03-23,LAND TRANSPORT AUTHORITY
2017-03-22,RMINRM-201603-0638,"For details, please call",ANG MO KIO AVENUE 3 (Bus Lane Affected),2016-03-22,LAND TRANSPORT AUTHORITY
2017-03-22,RMINRM-201603-0637,"For details, please call",ANG MO KIO AVENUE 3 (Bus Lane Affected),2016-03-22,LAND TRANSPORT AUTHORITY
2016-06-07,RMINRM-201605-0179,"For details, please call",ANG MO KIO AVENUE 4 (Bus Lane Affected),2016-05-07,LAND TRANSPORT AUTHORITY
2016-09-30,RMINRM-201603-0911,"For details, please call",ANG MO KIO INDUSTRIAL PARK 2,2016-03-31,LAND TRANSPORT AUTHORITY
2016-08-26,RMINRM-201603-0539,"For details, please call",ANG MO KIO STREET 23,2016-03-17,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201605-0015,"For details, please call 65878205",AVIATION PARK ROAD,2016-05-09,LAND TRANSPORT AUTHORITY
2017-03-22,RMINRM-201603-0433,"For details, please call 62957407",AYER RAJAH AVENUE,2016-03-23,LAND TRANSPORT AUTHORITY
2017-03-22,RMINRM-201603-0431,"For details, please call 62957407",AYER RAJAH CRESCENT,2016-03-23,LAND TRANSPORT AUTHORITY
2016-05-30,RMINRM-201605-0122,"For details, please call 6553 5464",AYER RAJAH EXPRESSWAY,2016-05-23,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0804,"For details, please call",AYER RAJAH EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0809,"For details, please call",AYER RAJAH EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0803,"For details, please call",AYER RAJAH EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0810,"For details, please call",AYER RAJAH EXPRESSWAY,2016-05-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0351,"For details, please call 63961384",AYER RAJAH EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201603-0350,"For details, please call 63961384",AYER RAJAH EXPRESSWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0607,"For details, please call 6332 6505",BALESTIER ROAD,2016-04-27,LAND TRANSPORT AUTHORITY
2016-06-20,RMINRM-201601-0334,"For details, please call 65946504",BALESTIER ROAD,2016-01-19,LAND TRANSPORT AUTHORITY
2016-06-20,RMINRM-201601-0332,"For details, please call 65946504",BALESTIER ROAD,2016-01-19,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201605-0025,"For details, please call 65919593",BANDA STREET,2016-05-05,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201605-0075,"For details, please call 67099153",BAYSHORE ROAD,2016-05-05,LAND TRANSPORT AUTHORITY
2017-11-30,RMINRM-201603-0210,"For details, please call 63962476",BEDOK CENTRAL (Bus Lane Affected),2016-03-07,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201205-0331,"For details, please call 64467911",BEDOK NORTH AVENUE 3,2012-05-18,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201202-0432,"For details, please call 64467911",BEDOK NORTH AVENUE 3,2012-02-20,LAND TRANSPORT AUTHORITY
2016-12-30,RMINRM-201108-0335,"For details, please call 64467911",BEDOK NORTH AVENUE 3,2011-08-18,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201112-0198,"For details, please call 64467911",BEDOK NORTH ROAD,2011-12-10,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0870,"For details, please call",BEDOK NORTH ROAD (Bus Lane Affected),2016-04-01,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0561,"For details, please call 65877643",BEDOK RESERVOIR ROAD,2016-05-01,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0651,"For details, please call 63328174",BEDOK RESERVOIR ROAD,2016-04-15,LAND TRANSPORT AUTHORITY
2016-07-30,RMINDL-201603-0047,"For details, please call 63328174",BEDOK RESERVOIR ROAD,2016-04-15,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0141,"For details, please call 64222121",BEDOK RESERVOIR ROAD (Bus Lane Affected),2016-03-11,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0456,"For details, please call 66030319",BEDOK SOUTH AVENUE 1,2016-05-02,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0454,"For details, please call 66030319",BEDOK SOUTH AVENUE 1,2016-05-02,LAND TRANSPORT AUTHORITY
2016-07-30,RMINRM-201603-0432,"For details, please call 65946504",BELILIOS ROAD,2016-03-28,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0458,"For details, please call 62957407",BIOMEDICAL GROVE,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201605-0051,"For details, please call 62957407",BIOPOLIS ROAD,2016-05-04,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201605-0053,"For details, please call 62957407",BIOPOLIS ROAD,2016-05-04,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0459,"For details, please call 62957407",BIOPOLIS STREET,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201605-0129,"For details, please call 62957407",BIOPOLIS WAY,2016-05-05,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0461,"For details, please call 62957407",BIOPOLIS WAY,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0460,"For details, please call 62957407",BIOPOLIS WAY,2016-03-21,LAND TRANSPORT AUTHORITY
2016-09-15,RMINRM-201603-0320,"For details, please call 6396 2102",BISHAN PLACE,2016-03-16,LAND TRANSPORT AUTHORITY
2016-09-16,RMINRM-201603-0525,"For details, please call",BISHAN STREET 11,2016-03-17,LAND TRANSPORT AUTHORITY
2016-09-16,RMINRM-201603-0526,"For details, please call",BISHAN STREET 11,2016-03-17,LAND TRANSPORT AUTHORITY
2016-09-16,RMINRM-201603-0524,"For details, please call",BISHAN STREET 13,2016-03-17,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0114,"For details, please call 63328174",BOON LAY AVENUE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0015,"For details, please call 63328174",BOON LAY AVENUE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0106,"For details, please call 63328174",BOON LAY DRIVE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0008,"For details, please call 63328174",BOON LAY DRIVE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0021,"For details, please call 63328174",BOON LAY DRIVE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0121,"For details, please call 63328174",BOON LAY DRIVE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0012,"For details, please call 63328174",BOON LAY PLACE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0111,"For details, please call 63328174",BOON LAY PLACE,2016-05-02,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201605-0152,"For details, please call 63961384",BOON LAY WAY,2016-05-18,LAND TRANSPORT AUTHORITY
2017-02-28,RMINRM-201504-0416,"For details, please call 6295 7346",BOON LAY WAY,2015-04-20,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0030,"For details, please call 63346854",BRADDELL ROAD (Bus Lane Affected),2016-04-04,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201604-0231,"For details, please call 63961385",BRANKSOME ROAD,2016-04-19,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0726,"For details, please call 65576714",BRAS BASAH ROAD (Bus Lane Affected),2016-04-01,LAND TRANSPORT AUTHORITY
2016-11-01,RMINRM-201604-0625,"For details, please call 63962943",BRICKLAND ROAD,2016-05-02,LAND TRANSPORT AUTHORITY
2016-07-26,RMINRM-201602-0410,"For details, please call",BUANGKOK CRESCENT,2016-02-17,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0871,"For details, please call",BUANGKOK GREEN,2016-04-01,LAND TRANSPORT AUTHORITY
2016-07-26,RMINRM-201602-0412,"For details, please call",BUANGKOK GREEN,2016-02-17,LAND TRANSPORT AUTHORITY
2016-09-30,RMINRM-201605-0021,"For details, please call 63961385",BUCKLEY ROAD,2016-05-09,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0872,"For details, please call",BUKIT BATOK CENTRAL,2016-04-01,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0108,"For details, please call 63328174",BUKIT BATOK EAST AVENUE 3,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0010,"For details, please call 63328174",BUKIT BATOK EAST AVENUE 3,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINDL-201604-0019,"For details, please call 63328174",BUKIT BATOK ROAD,2016-05-02,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201604-0119,"For details, please call 63328174",BUKIT BATOK ROAD,2016-05-02,LAND TRANSPORT AUTHORITY
2016-11-30,RMINRM-201512-0806,"For details, please call (SITE)",BUKIT BATOK ROAD,2016-01-04,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0688,"For details, please call",BUKIT PANJANG ROAD,2016-05-01,LAND TRANSPORT AUTHORITY
2016-06-04,RMINRM-201605-0035,"For details, please call 6332 8159",BUKIT TIMAH EXPRESSWAY,2016-05-05,LAND TRANSPORT AUTHORITY
